participant_id,typeform_response_id,What is your prolific ID?,"How often have you experienced or witnessed safety-related incidents (e.g., crime, emergencies) in your city that affect how safe you feel?",Do you live North or South of the UK?,How much do you trust local government institutions?,How comfortable are you with understanding and using new technologies?,Response Type,Stage Date (UTC),Status,Custom study tncs accepted at,Deception,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Political affiliation (uk)
2232522f-7520-4537-9383-a6127bb880c1,yom8gx0zj6qotsblhyomyfni6qjgmye2,5ec96e3609117f0a67231842,Rarely,South,Neutral,Comfortable,completed,,RETURNED,Not Applicable,,,,,,,,,,,
fc34ecd1-7725-40bb-828a-dc17af9933cf,cvcgx30thwf6p4s2xl2zvhcvcgx3mc2g,5e69cfe8978ef90387707325,Often,North,Distrust,Very comfortable,completed,,APPROVED,Not Applicable,,29.0,Male,Black,United States,United States,United States,English,,,
780775b2-b20d-4158-a62d-60152f372419,pybpcd3watoscmdpybpw98h2oi5o5r6h,665de25c0fd848aca86e06e0,Sometimes,North,Strongly distrust,Comfortable,completed,,RETURNED,Not Applicable,,,,,,,,,,,
67ebd22c-5b4d-407f-b7ad-90d855ab86a8,357woe4ltkvkp8br6u357wv3rwpji74t,65789e3b5552e0a462eab4ca,Often,North,Neutral,Very comfortable,completed,,APPROVED,Not Applicable,,19.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,,
67ebd22c-5b4d-407f-b7ad-90d855ab86a8,357woe4ltkvkp8br6u357wv3rwpji74t,65789e3b5552e0a462eab4ca,Often,North,Neutral,Very comfortable,completed,,RETURNED,Not Applicable,,,,,,,,,,,
d6bd393c-cf1e-4189-8da6-a3a785510e74,hqi4z0rpbli1yphqi49gtvafi1dx9whx,5ef8bf948a48ac03adaad640,Rarely,South,Distrust,Comfortable,completed,,APPROVED,Not Applicable,,45.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
a614abf1-2a07-44ec-9924-00d4c75ab243,ners43xbpwcwbq2krners43n31hz5ha6,665abb661d3f242a05ffb7ed,Sometimes,South,Strongly distrust,Neutral,completed,,APPROVED,Not Applicable,,36.0,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,
f385c4bb-0dd3-4b7e-932c-f62603ee6c63,18qg3lt7pjs0zvnb7oh18qg3lmd9wkgj,66c49e817f306682e177fab9,Rarely,South,Trust,Very comfortable,completed,,APPROVED,Not Applicable,,36.0,Male,Black,Nigeria,United Kingdom,Nigeria,English,No,Full-Time,
bcc04aa6-7400-433c-a15c-28117c776274,zh7r2qopm72ic3mxeqzh7r2qwe4wh4fq,66dc491bbd6573646e377b0d,Rarely,North,Strongly trust,Comfortable,completed,,RETURNED,Not Applicable,,,,,,,,,,,
c6166c39-e799-4ada-86b0-839b2bb08d6f,67ohop78gt6lb1w2ds967oh6gw7bxdql,6658b13d6a1df274ee633f90,Never,North,Trust,Comfortable,completed,,APPROVED,Not Applicable,,26.0,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),
